actual_price,predicted_price,residual,absolute_error,percentage_error,signed_percentage_error,price_band
28990.0,29689.773,-699.7734375,699.7734375,2.4138442135219043,-2.4138442135219043,Mid
43990.0,42523.594,1466.40625,1466.40625,3.3334990907024324,3.3334990907024324,High
29990.0,27413.158,2576.841796875,2576.841796875,8.592336768506168,8.592336768506168,Mid
31690.0,32182.266,-492.265625,492.265625,1.5533784316819186,-1.5533784316819186,Mid
34990.0,28269.893,6720.107421875,6720.107421875,19.20579428943984,19.20579428943984,Mid
14888.0,15034.248,-146.248046875,146.248046875,0.9823216474677593,-0.9823216474677593,Low
37500.0,37703.14,-203.140625,203.140625,0.5417083333333333,-0.5417083333333333,Mid
11990.0,13671.475,-1681.474609375,1681.474609375,14.023975057339449,-14.023975057339449,Low
34990.0,31467.396,3522.603515625,3522.603515625,10.067457889754214,10.067457889754214,Mid
38888.0,42580.652,-3692.65234375,3692.65234375,9.49560878355791,-9.49560878355791,High
27986.0,26573.006,1412.994140625,1412.994140625,5.048932111144858,5.048932111144858,Mid
10990.0,12725.841,-1735.8408203125,1735.8408203125,15.794729939149226,-15.794729939149226,Low
57988.0,56087.266,1900.734375,1900.734375,3.2778063995999176,3.2778063995999176,High
35990.0,39301.16,-3311.16015625,3311.16015625,9.200222718116144,-9.200222718116144,Mid
67888.0,49775.445,18112.5546875,18112.5546875,26.68005345200919,26.68005345200919,High
40290.0,43973.71,-3683.7109375,3683.7109375,9.142990661454455,-9.142990661454455,High
35990.0,37148.41,-1158.41015625,1158.41015625,3.218700072936927,-3.218700072936927,Mid
31950.0,24992.293,6957.70703125,6957.70703125,21.776860817683882,21.776860817683882,Mid
37990.0,34631.473,3358.52734375,3358.52734375,8.84055631416162,8.84055631416162,High
69988.0,86001.62,-16013.6171875,16013.6171875,22.880518356718294,-22.880518356718294,High
22990.0,20891.16,2098.83984375,2098.83984375,9.129359911918225,9.129359911918225,Mid
14995.0,12163.587,2831.4130859375,2831.4130859375,18.88238136670557,18.88238136670557,Low
12990.0,11160.64,1829.3603515625,1829.3603515625,14.082835654830639,14.082835654830639,Low
8865.0,9613.578,-748.578125,748.578125,8.444197687535251,-8.444197687535251,Low
47990.0,44241.246,3748.75390625,3748.75390625,7.811531373723693,7.811531373723693,High
69788.0,65045.215,4742.78515625,4742.78515625,6.795989505717315,6.795989505717315,High
7865.0,11795.047,-3930.046875,3930.046875,49.968809599491415,-49.968809599491415,Low
19888.0,22414.918,-2526.91796875,2526.91796875,12.705741998944086,-12.705741998944086,Low
6799.0,6942.2534,-143.25341796875,143.25341796875,2.106977760975879,-2.106977760975879,Low
288888.0,247606.83,41281.171875,41281.171875,14.289680386516574,14.289680386516574,High
39990.0,40827.94,-837.94140625,837.94140625,2.095377359964991,-2.095377359964991,High
31995.0,33314.83,-1319.828125,1319.828125,4.125107438662291,-4.125107438662291,Mid
15977.0,17771.05,-1794.05078125,1794.05078125,11.228959011391375,-11.228959011391375,Low
48868.0,51936.715,-3068.71484375,3068.71484375,6.27959982759679,-6.27959982759679,High
12990.0,13448.506,-458.505859375,458.505859375,3.529683290030793,-3.529683290030793,Low
